,Colorized,Mode,Augmented,MSS,Score,Accuracy,Characters,Errors,SpacesErrors,NonSpaceAccuracy,Source
329,True,bw,False,fr. 13496,68-0.9335,88.3,4736,554,124,0.09079391891891891,logs/test-htr2.log
330,True,bw,True,fr. 13496,103-0.9447,90.71,4736,440,102,0.07136824324324324,logs/test-htr2.log
331,True,bw,True,fr. 13496,104-0.9447,90.9,4736,431,104,0.06904560810810811,logs/test-htr2.log
332,True,bw,True,fr. 13496,84-0.944,90.08,4736,470,105,0.07706925675675676,logs/test-htr2.log
333,True,bw,True,fr. 13496,90-0.944,90.5,4736,450,100,0.07390202702702703,logs/test-htr2.log
334,True,bw,True,fr. 13496,94-0.9446,90.35,4736,457,112,0.07284628378378379,logs/test-htr2.log
335,True,bw,True,fr. 13496,95-0.9451,90.71,4736,440,98,0.07221283783783784,logs/test-htr2.log
336,True,bw,True,fr. 13496,96-0.9457,90.29,4736,460,104,0.07516891891891891,logs/test-htr2.log
337,True,bw,True,fr. 13496,97-0.9448,90.37,4736,456,106,0.07390202702702703,logs/test-htr2.log
338,True,bw,True,fr. 13496,98-0.9441,90.71,4736,440,103,0.0711570945945946,logs/test-htr2.log
339,True,bw,True,fr. 13496,99-0.9441,90.84,4736,434,102,0.07010135135135136,logs/test-htr2.log
340,True,nobw,False,fr. 13496,66-0.9449,88.3,4736,554,91,0.09776182432432433,logs/test-htr2.log
341,True,nobw,False,fr. 13496,68-0.9455,88.15,4736,561,106,0.09607263513513513,logs/test-htr2.log
342,True,nobw,False,fr. 13496,74-0.9449,88.07,4736,565,109,0.09628378378378379,logs/test-htr2.log
343,True,nobw,False,fr. 13496,75-0.9451,88.01,4736,568,109,0.09691722972972973,logs/test-htr2.log
344,True,nobw,False,fr. 13496,80-0.9451,88.3,4736,554,96,0.09670608108108109,logs/test-htr2.log
345,True,nobw,False,fr. 13496,84-0.9454,87.65,4736,585,123,0.09755067567567567,logs/test-htr2.log
346,True,nobw,False,fr. 13496,85-0.9454,87.86,4736,575,112,0.09776182432432433,logs/test-htr2.log
347,True,nobw,False,fr. 13496,86-0.946,88.26,4736,556,103,0.09565033783783784,logs/test-htr2.log
348,True,nobw,False,fr. 13496,87-0.9455,87.96,4736,570,110,0.09712837837837837,logs/test-htr2.log
349,True,nobw,False,fr. 13496,88-0.9453,88.26,4736,556,102,0.09586148648648649,logs/test-htr2.log
350,True,nobw,True,fr. 13496,100-0.954,89.65,4736,490,105,0.08129222972972973,logs/test-htr2.log
351,True,nobw,True,fr. 13496,101-0.9538,90.08,4736,470,93,0.07960304054054054,logs/test-htr2.log
352,True,nobw,True,fr. 13496,82-0.954,89.32,4736,506,101,0.0855152027027027,logs/test-htr2.log
353,True,nobw,True,fr. 13496,87-0.9539,89.78,4736,484,97,0.08171452702702703,logs/test-htr2.log
354,True,nobw,True,fr. 13496,91-0.9538,90.01,4736,473,89,0.08108108108108109,logs/test-htr2.log
355,True,nobw,True,fr. 13496,92-0.9549,89.65,4736,490,92,0.08403716216216216,logs/test-htr2.log
356,True,nobw,True,fr. 13496,93-0.9549,90.08,4736,470,90,0.08023648648648649,logs/test-htr2.log
357,True,nobw,True,fr. 13496,96-0.954,89.89,4736,479,97,0.08065878378378379,logs/test-htr2.log
358,True,nobw,True,fr. 13496,97-0.9542,90.39,4736,455,90,0.07706925675675676,logs/test-htr2.log
359,True,nobw,True,fr. 13496,99-0.9537,89.99,4736,474,94,0.08023648648648649,logs/test-htr2.log
